"pangos","Freq","Hash","Lineage"
"B.1.1",1,"4e43786e89","B.1.1"
"B.1",1,"36da36d85f","B.1"
"A",0.5,"6725d1ae5f","NA.6725d1ae5f.X"
"B",0.5,"6725d1ae5f","NA.6725d1ae5f.X"
"B.1",0.333333333333333,"6bfcef8fec","B.1.X"
"B.1.1.306",0.333333333333333,"6bfcef8fec","B.1.X"
"B.1.2",0.333333333333333,"6bfcef8fec","B.1.X"
"C.33",0.0588235294117647,"1fce456340","C.X"
"C.36",0.941176470588235,"1fce456340","C.X"
"B.1.1",0.0151515151515152,"5cad481418","NA.5cad481418.X"
"B.1.1.1",0.666666666666667,"5cad481418","NA.5cad481418.X"
"C.14",0.212121212121212,"5cad481418","NA.5cad481418.X"
"C.26",0.0454545454545455,"5cad481418","NA.5cad481418.X"
"C.32",0.0303030303030303,"5cad481418","NA.5cad481418.X"
"C.4",0.0303030303030303,"5cad481418","NA.5cad481418.X"
"B.1.1",1,"0535a9fd78","B.1.1"
"B.1",0.0666666666666667,"37ae46f204","B.1.X"
"B.1.1.214",0.666666666666667,"37ae46f204","B.1.X"
"B.1.177",0.266666666666667,"37ae46f204","B.1.X"
"B.1.1",1,"654538d384","B.1.1"
"B.1",1,"e9b35d5a80","B.1"
"D.2",1,"c5c14086d3","D.2"
"B.1.36.16",1,"a14eb11c7d","B.1.36.16"
"B.1.1",1,"8f9eb80d26","B.1.1"
"B.1",1,"ceda56da69","B.1"
"B.1.219",1,"174258a398","B.1.219"
"B.1.36.8",1,"e0a90ea48a","B.1.36.8"
"B.1.1.25",0.4,"a62e4de667","B.1.X"
"B.1.428",0.6,"a62e4de667","B.1.X"
"B.1",1,"239c0079b4","B.1"
"B.1",0.333333333333333,"55436c2693","B.1.X"
"B.1.1",0.333333333333333,"55436c2693","B.1.X"
"B.1.356",0.333333333333333,"55436c2693","B.1.X"
"B.1",0.25,"58197944e4","B.1.X"
"B.1.1.28",0.25,"58197944e4","B.1.X"
"B.1.428",0.5,"58197944e4","B.1.X"
"D.2",1,"b3ca97ddbb","D.2"
"D.2",1,"c89a3ecdd3","D.2"
"B.1.471",1,"a26fd840b2","B.1.471"
"B.1",0.333333333333333,"edd860646c","B.1.X"
"B.1.1.214",0.333333333333333,"edd860646c","B.1.X"
"B.1.1.44",0.333333333333333,"edd860646c","B.1.X"
"D.2",1,"ba51fbc656","D.2"
"D.2",1,"2137ec0eed","D.2"
"D.2",1,"c818120b3d","D.2"
"B.1.319",1,"95fdf64359","B.1.319"
"B.1.1.70",1,"59c5f555f2","B.1.1.70"
"B.1",1,"dd7ef11da6","B.1"
"B.1",1,"69ea215a6f","B.1"
"B.1",1,"ce4032eb17","B.1"
"B.1",1,"c05a0ee67e","B.1"
"B.1",1,"a3eb10fafd","B.1"
"B.1.1.1",1,"2473225b23","B.1.1.1"
"C.14",1,"1a912e515c","C.14"
"B.1.1",1,"8b2b9bcaf5","B.1.1"
"B.1.577",1,"ebd8282e48","B.1.577"
"B.1",0.0625,"262d516f95","B.1.X"
"B.1.2",0.0625,"262d516f95","B.1.X"
"B.1.237",0.125,"262d516f95","B.1.X"
"B.1.381",0.375,"262d516f95","B.1.X"
"B.1.524",0.3125,"262d516f95","B.1.X"
"B.1.526",0.0625,"262d516f95","B.1.X"
"D.2",1,"8ab2eade25","D.2"
"D.2",1,"9ae9e51d94","D.2"
"D.2",1,"621e628287","D.2"
"D.2",1,"43e2fcf9b5","D.2"
"B.1",0.333333333333333,"9ddb7e8ca2","B.1.X"
"B.1.1.63",0.333333333333333,"9ddb7e8ca2","B.1.X"
"B.1.177.44",0.333333333333333,"9ddb7e8ca2","B.1.X"
"D.2",1,"a3f4e01e83","D.2"
"A",1,"1cddf2be50","A"
"B.1.160",0.435897435897436,"544d42bf9c","B.1.X"
"B.1.160.16",0.0512820512820513,"544d42bf9c","B.1.X"
"B.1.36.8",0.0512820512820513,"544d42bf9c","B.1.X"
"B.1.438",0.0256410256410256,"544d42bf9c","B.1.X"
"B.1.526",0.435897435897436,"544d42bf9c","B.1.X"
"D.2",1,"210f789f84","D.2"
"D.2",1,"519da965df","D.2"
"B.1.1.306",1,"3c9f45acfa","B.1.1.306"
"B.1",0.027027027027027,"5b602cb94e","NA.5b602cb94e.X"
